Sample,Species,Crustacean,Condition,Water,Type,Region,Study
T51,Marron,Crayfish,Environment,Freshwater,Paired,V3V4,Tulsankar2021
T52,Marron,Crayfish,Environment,Freshwater,Paired,V3V4,Tulsankar2021
T53,Marron,Crayfish,Environment,Freshwater,Paired,V3V4,Tulsankar2021
T54,Marron,Crayfish,Environment,Freshwater,Paired,V3V4,Tulsankar2021
T55,Marron,Crayfish,Environment,Freshwater,Paired,V3V4,Tulsankar2021
T56,Marron,Crayfish,Environment,Freshwater,Paired,V3V4,Tulsankar2021
T57,Marron,Crayfish,Environment,Freshwater,Paired,V3V4,Tulsankar2021
T6,Marron,Crayfish,Environment,Freshwater,Paired,V3V4,Foysal2020a
T7,Marron,Crayfish,Environment,Freshwater,Paired,V3V4,Foysal2020a
T8,Marron,Crayfish,Environment,Freshwater,Paired,V3V4,Foysal2020a
T9,Marron,Crayfish,Environment,Freshwater,Paired,V3V4,Foysal2020a
TS05,Tiger_shrimp,Shrimp,Health,Saltwater,Paired,V3V4,Oetama2016
TS06,Tiger_shrimp,Shrimp,Health,Saltwater,Paired,V3V4,Oetama2016
TS09,Tiger_shrimp,Shrimp,Health,Saltwater,Paired,V3V4,Oetama2016
TS36,Tiger_shrimp,Shrimp,Development,Saltwater,Paired,V3V4,Angthong2020
TS38,Tiger_shrimp,Shrimp,Development,Saltwater,Paired,V3V4,Angthong2020
TS39,Tiger_shrimp,Shrimp,Development,Saltwater,Paired,V3V4,Angthong2020
TS41,Tiger_shrimp,Shrimp,Development,Saltwater,Paired,V3V4,Angthong2020
TS50,Tiger_shrimp,Shrimp,Development,Saltwater,Paired,V3V4,Angthong2020
TS62,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS63,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS65,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS66,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS67,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS68,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS69,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS70,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS71,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS72,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS76,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS77,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS79,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS80,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS81,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS82,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS83,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS84,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS85,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS86,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS90,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS91,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS92,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS93,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS94,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS95,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS96,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS97,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS98,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
TS99,Tiger_shrimp,Shrimp,Growth,Saltwater,Paired,V3V4,Uengwetwanit2020
WS08,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,González2020
WS09,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,González2021
WS10,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,González2022
WS11,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,González2023
WS12,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,González2024
WS13,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,González2025
WS14,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,González2026
WS15,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,González2027
WS2,White_shrimp,Shrimp,Diet,Saltwater,Single,V3V4,Cao2020
WS20,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS21,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS22,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS23,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS24,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS25,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS26,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS27,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS28,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS29,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS3,White_shrimp,Shrimp,Diet,Saltwater,Single,V3V4,Cao2020
WS30,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS31,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS32,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS33,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS34,White_shrimp,Shrimp,Environment,Freshwater,Paired,V3V4,Zoqratt2018
WS39,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS4,White_shrimp,Shrimp,Diet,Saltwater,Single,V3V4,Cao2020
WS40,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS41,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS42,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS43,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS44,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS45,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS46,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS47,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS48,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS49,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS5,White_shrimp,Shrimp,Diet,Saltwater,Single,V3V4,Cao2020
WS50,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS51,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS52,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS53,White_shrimp,Shrimp,Diet,Freshwater,Paired,V3V4,Shao2019
WS54,White_shrimp,Shrimp,Development,Freshwater,Paired,V3V4,Deng2019
WS55,White_shrimp,Shrimp,Development,Freshwater,Paired,V3V4,Deng2019
WS56,White_shrimp,Shrimp,Development,Freshwater,Paired,V3V4,Deng2019
WS57,White_shrimp,Shrimp,Development,Freshwater,Paired,V3V4,Deng2019
WS58,White_shrimp,Shrimp,Development,Freshwater,Paired,V3V4,Deng2019
WS59,White_shrimp,Shrimp,Development,Freshwater,Paired,V3V4,Deng2019
WS6,White_shrimp,Shrimp,Diet,Saltwater,Single,V3V4,Cao2020
WS60,White_shrimp,Shrimp,Development,Freshwater,Paired,V3V4,Deng2019
WS7,White_shrimp,Shrimp,Diet,Saltwater,Single,V3V4,Cao2020
WS74,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS75,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS76,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS77,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS78,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS79,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS80,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS81,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS82,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS820,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS821,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS822,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS823,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS824,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS825,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS826,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS827,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS828,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS829,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS83,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS830,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS831,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS832,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS833,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS834,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS835,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS836,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS837,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS838,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS839,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS84,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS840,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS841,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS842,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS843,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS844,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS845,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS846,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS847,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS848,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS849,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS85,White_shrimp,Shrimp,Growth_health,Saltwater,Paired,V3V4,Yu2020
WS86,White_shrimp,Shrimp,Environment,Saltwater,Paired,V3V4,Gainza2020
WS87,White_shrimp,Shrimp,Environment,Saltwater,Paired,V3V4,Gainza2020
WS88,White_shrimp,Shrimp,Environment,Saltwater,Paired,V3V4,Gainza2020
WS89,White_shrimp,Shrimp,Environment,Saltwater,Paired,V3V4,Gainza2020
WS90,White_shrimp,Shrimp,Environment,Saltwater,Paired,V3V4,Gainza2020
WS91,White_shrimp,Shrimp,Environment,Saltwater,Paired,V3V4,Gainza2020
WS934,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS935,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS936,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS937,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS938,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS939,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS940,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS941,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS942,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS943,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS944,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS945,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS946,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
WS947,White_shrimp,Shrimp,Environment,Freshwater,Single,V3V4,Landsman2019
